old                                      new
07bbe0f1871292e0ee8994c1b98c02941e019c83 4700e4fd1ab9dbca204a38a20000b6c1d0d0acf2
083a05a5cdd05cbe2f0667f6ae6b42b50c97af09 13090cf1ccdd32201330b7dbc34ddcbae990e77d
0ab9de81acb7926d7d2db529e3c8a0844bc5c06f bf014ae866060ffad02d29b881b366291ce41a33
0d16b67fc7607b5ad160b288ad49d7d8ca85cedd e89103b837c9bda847f2d293e11596f1cec53542
132b8ebc26312d410219a7a3ce85d9ecc6460679 05ee333c2fecd2e0419f8dbf8b9b8eaf51ab4929
17edd231bab558a5913642ec12f4e1c20a877ad9 931b1dd4306b0611b8ab5797684a731088312947
187d44aa8af5551880250eaa2b0b6d772bafdda5 5f8d9661372b13ba98f3eb4f3068c009e70b9774
1f62a2632b97529c156d35ba856ec7abe37a4ea5 cb99d3184e7d7874b1f9e033ddc519e18a16751a
27c348e9a76ef132a0dbfc691a7cbbccfa9a33fa d7235a4a62c400552172b15f026a9e7d14281691
2eae8750b27692fec96c037f59b4fe24ebe66401 0596668fd51a060accf69e9e000b7310adc765f3
358951ae997ffe8aa243ec5b78067967503c0074 074079b76c3f78293490a21c091dfde669ea2a72
36d47a04b5419236973c12cd75deb92536e14f6a ea27bfc1f1b6600433554758d5199bcc2f40359c
3e564ade7a22eff4117188b33e703a49eb15a559 0559dd80731558979e3a5310807446b506b074f6
3ed166d696d8a9c44a88d58ba76d39c7b4c42083 81e5e9d90dfd3156e69d48ad60dbcb10baebce2a
42826bafbff642883e3391774fd6698a1a57621f c8fefcbaa8f19109e282d7a7702367175e6716b9
4836503ff25dbc484935be43bf5f9733910a5061 0041c823a82e0a889075ec9898aa33e23b44a0e5
4afb14ced4f72de1cb56067444c1fc71516b3630 7f4f07613740c07e69eb5e9a4f22a5a237e50135
4b6ff4c33b20e78238caf119d6fed2fb9578c8d3 bc11df9cad0b3baac10ec311070a9a7a5335e2fe
4c85ce9f507ecf3c9587d55db70cfff4427e1c3a ac72c62ccdd9d7240bab0ffad2889318e35f1265
4d1e6c3b3472db4a4f9a396a1c011bed74038b9b 37d74b0e97046446f208c3257b7bd9c1ec11424f
5860d71372c947cb0c8396a8fd7470921408ae06 929366d012379bd103348589b3f6d6fb6054cdc8
5a78ade1e9062ba4342fb819ad185766ce76ceb1 a747753ff289bdba5b19930815421982d1f2f9ee
66f2ad55ac1e50b31bada83c324fa899d0b6367d 3026d417cd5f643df506a46cd49f2dc04a11a611
681cfb33075d59c5b7ed195d322cb8ef5043384e 07b88091703c65fe8fd691879566fc6cb8acda36
68a30b0be32539971acd137a4d774d8c36007061 7f3b4db18cd4bd0f89387679faa6ea9d89229307
6f7c85a721aa53d3b894b3bcb8382eebf7942fad 6f7c85a721aa53d3b894b3bcb8382eebf7942fad
73c8d6abc43c3632fd849a995400e386dcc6469a febb10f3d1bd6a25a5be16b3fd339f826005d8a1
764f84a98147aac984d3e27c9a3491c70990dce9 ca4332d4984b2607ec04354e6bfef4b68147e2b3
765ecef673b936bb306bceb87f8411ffd21de4a7 b34ff0c291265235174af19d3e4657461bc88c4d
7bc9b434a78e4cc134583c9bd060c53e4f970c44 6b670a7e35106e28641f8b35ef11d59d8455bd0f
88113228a29d55865910ed601e738e636b77df6c 9a62110768d140835512c4c32c49b58856ce1793
8980dbc0e04de68cbefd9bd1e070e7a62e942b91 2b2456718a217bafe95c0d4c2e34a6748917c2a6
8bbff51bae00f497152ae569b16fab35e5d194aa 8cb284dd398d28096972e4585ad104efedc7793c
8ed338fe5835922519fe925ab4aa0b010fd77fe1 51a65921ab048954ab9d771a6eeb1e01fedcdd7e
8fc0bd1effb6aafd39fce985c6a51375cf0d9560 aa290fa8e3e5c5d9302dd4a6a6b7595f68dde3c8
901911fc3ab375eb86accbf03c57558ed0e95e00 a1e76456abd910aa7022eacac45fbc28da5a2d6d
904d8e8370965f49e52a2b8faeef7d7fbfe10c8f 0ab1c200aff5dd69f22a6a8af84d53496594e27d
953b5ce6fb8b9edf3fea92daa47b67418a2530c5 21b7bbf2d6ef28bc5342ac94e371e9834e53143d
97417f2d3b24cf4e44897b9eb8acf30acd8e4d15 161c9cf8be319970336296a93bb316a9fe8417a5
989976ef686d080fe91db9b7084c86d6f747c6e3 79a60a66c90b40a22058fb554dea170558042238
9be4790b24f3521ae71a58f64aeb586904bd37b2 34438c9f5c6a70544c4db7c40f68daf12a1656ea
9eb1693adc13b0311ad52d58208861dfa5869b20 9b373e589c2dc92fb3abddec5d72f829839536c2
9fa10e2dfad05463652c25aa1795576bb0566f9d 822ad67d1a16242393814e61747c52425a0edcac
a07e0a9ff62dbd0165161c45edc3532d274aa7f2 434f81add6bf14ef3b06e0ec7ad301e711222ca6
a367ab37f18d7f2483f731e2c9d9217b4551b8be 2df6b02ca2853e7123e734fc683e480666544436
a8a79167926a81ceb92f0d4ae68dea6b527807e1 95ec37528e977cf49c6e7cde254a4189cbe451f7
af0e4019fe512fad9c87c1362e538cbb463f3034 6491fe09e669404d97ea384a369502d501897ab4
b00b960312ed3af7510ac8777a5eaa65cbea9a62 eccfb3835e8d6423a26c4c506a76e44430391d36
b47217d039044ddc0896184a73a7cf4c211674f8 e845bec6e009ffc08c8146bca82342f189581db8
b5e8f318d6a5a191e15fc516f5c50011084431fb ac265b6587a22ed6526cbc8097edd70d8cf920d5
bae4d5f376dd988bdc8a72b88db731109521c4f5 14815438967d2857b1de0f06ba4dc53845e6abd9
bba524352b85e6dbb8f6961f274d7cc908b9ea90 848e74279fbc684ab0ca6bf9a7cbf112f581a3e0
bf56752c91a9dec333bffd0284a6a6184c808f32 ff1a0b86112dc1ae68f770b5dec99d681acdb703
c38c85bbea4f1a51637ddec4cdb011d620f409ec e08523a5b46e09737cc7ac96355b01ad77371c29
c7d6e44b5008cbc77c197fa5e0c61f81391ebb1d f03bbd13bc70de9feafdf49e50c15ded1159604c
c9cc14b337871c17e506ba242c68fdb600b4fe4d a02e16d1d74e0472f87f1bb8406864bd0c199a84
cac4b0e4e8593423b136369038efb1826d45f74b 747b672a919283e7fcc8f9bc40baa5aefe475bb6
cbf43f1279cf78c161ada3e97042de899f1300a5 6efc6ca1219404826017785c154ee603faf51e9e
ce651ea1da12f467743128b213e651c003b6608a b3000f9d0f2b4c1dae486bab143c2a949bdd846d
d0505e9b31df19b23c4cb89e890ac770c3ff02ff 3592a24cd6b0d09bea08df108b8b3dd4925da8da
d236ddc5ae1eee019e2475b546750aac63babafa 6f5f6a0a9174a26439d0c923a35bdb25be35e769
d6672c78b5b517650bfaeda86087dc95b4919940 63d05ca6d09da59b890c2581904c0632742a4afa
d709c1c17d0ea0a7e1b29d26a33f273e57b36761 3d20cc655326739c67dac8cd6fa7baf395a0d02d
d7c65dbbce5a2d4e9d573b87dab1c0c0cdbb7983 bd28e3db85f781ef100869059a249ff96baee1e6
d8eb9593cf87ac28c383c108196ae1ab202e7deb 44c310952c0b04532fa3ab70e6c69f73715c1b87
ded44f6017991e37ff6e933bdf84068d2c5a5be8 1788dc040290b3cfaf7636cb378013fc4b887382
e5aa6669e14cdfb27e4d3e134831f975363bffd6 8e2bb871635070f04869614b9bd4ddaea69bc723
e8b624f20fe512e3c1a3d9dccdcece015955c210 217b43571ab51a58e9853763abe1ccef0f492b9f
ebfec81097b3b61c3f7a7e4d93e8d177bb3ab873 c8dd20cab87e1d8691312eaecc08fed7e98eefa8
efc91b6d59342742f96b8d59c89e7ad0f751cb1c 41976432f138e7203880ac830fcdc43a7e70d89f
f4585c91cedb1d6c0530890676e60e1386fa337a 5475242b8093c719036adbcd194b7e8bfd2aef0a
f90c1ecfaf3d9092cfd61e0268b96d10a57bfc03 d16c34bc77e2fc3bc7d9690336bfc40ff47df33c
ff7b35e9d708574532291fa1fa1d1b5b819bfb99 394fdfed0f2a3d81e725561d91d5422fe1c0f623
