old                                      new
00d7ac097b30a3e55a5606f96a6e196854f4ba3d 00d7ac097b30a3e55a5606f96a6e196854f4ba3d
05e0c3a24d76cd93a7ca8fe137faebde452d42a8 37733e080dcfc8a74b88c0c0dd7b35b7d179beeb
066fb09a76d2181b0ad471d473d36a9a5b763b7d 8b4679f7750206e79e42e77b0cd89a010c2cc248
0f00fbbd68a1529b7632960305968a896b566c9b 05982507303b737a0fd26f96c738ef7b2a54ba0e
13ab053485c97a0369a0191dd2c18a846bd25b63 abaad7de5e5e71975cec0efcbdea763efc58cbbb
192b3de6975a70362e5bfc49def55d0400fc9506 16da2733309b1199c4956b7d473d37b9869d6f9f
1f7cb20e64736706a7c6928c1209499f6a6d2f9b cd5beebd230e4a68347a40a4908954b600c65f9b
25b250ad1347f5c6dbbefc7e75c163cdc483dcd9 002ac5e9bda0b3d953f8938787e96dfc51bb6cc2
29f33587b3b9e4d0b2a797ca93276395c658a608 a244474dad1931f26b6cac55c276d6649afd61c0
2e68a4fd884903d99b2106e905eb761fe9893a06 a27ce781c089aeddb105e887cd12a5f8bf6cd30c
2f4f8e8b54ea749e1c37ba9e55ff0d46f27a0567 df1bee073da6280f85696c5a68667589c5afca67
37d6b8a60517056057902f4794560754845b113c 2ece8bbfee109bcbfba707c80cd2bbb2c429876f
446dc79d91e38ed23298a2ce49560bf2421949cb cea1e8f0e83b89869d110514c8b8a4627bc911c6
456efdb7345d30f33d44ecca5043fbb5d9fa8716 95fe07d6addbaccf5294a0dab377cd28f9deab12
4b15b7af3d3b1af3cd2d3ff08575b74f573a2a52 d6a9ad57dab26da178fc2a3229fadbf2a8bf6ced
4ce4981a38cf754fecfbc8b33769bfafd5100336 8fd25d4e3b7f53228ca0f109c84f84673555c576
503b4b8457421178af0d5b6416f4d126e07ef6f8 85717c783fd220aeba86fc186fc18741e2b44a9d
505b56ea8bf00e76ab6606a9920711c48672a9cd 93cb505177e8e2bcc191670ed299d15060175a24
537c46715090eeb2aa5059d19a6c72065e8b8c72 2ca6a191d4fe42889a5e1d056d3bd67f33e4f043
6abb7fb0250b30d981ec5622df3a2396c565ab27 68aed09df9ce70bdea4ad9d30e6c06d195cde076
755f10da70ebbeba9808d888d19fcc9203d3072e c33bb1c072fe0afcfaadab310dae1b3f52cc2012
79fa29e00624737c6ea32005df4eb3a49ba4d424 a879a8c69badee0cb9ccf2d5f2ecc2376dab8ed0
7cb2197eedac4a582058fdf1d910c712c4a3819c f928e8c20164490b9627a05ca1804766f3cb6088
837cf4ff751cf94ca0c9b2ce8a93ed24b7363349 1874fdade10db7704acff9251c217d57bbaf7881
83e2e4b4e29c06b64faa7bdf7eec78f21711070d 53d7c1ef95f4590567881d1b1b2bcb107957eb2a
8ca68e75d05b233508fbe487cc40b749f4619fbc 4f274426f810fbb7bf5f4e6ecb4ae1d130595a30
9b19befc6874fb05a1d5dce8c70a319465cc5d5f 5aa0bb2d2ad0cddeadcbdd6f22c0b0482f28c440
9c3352217a9307b95bd7f6e94b9fa5ac52e6f740 483dbe99f81695caa2e7f55800ab64f12296751b
9f710575c22741deb4174c926f8c58f1441b567e 8a11b8278f0d8f0e7a0a9a14b56ed897502d2323
a20c07343b75591c9f23be2be2c410d3fdc76fed 0ccaa7b04fc078b1c5cbb84c35e56ad7be9c9925
a5ad9870122cf39ae221b80e6f8f022669bbe0c8 e1841d756d45c0d675919b00ba3824a267f445e4
abe7c92a8b179879305d6f02a7de89d84fb12142 7f08540a0f6b288c257b7da82c17bf9c5c1bc1d4
b2825e111c26e42c82fed1bafcf8adf3e5637455 bc2c1b28a2c6ccd9e1fe7508b67586d7dd8f575d
b335d7b64683663305ace6af7cbb1e30817f85c2 1d329edd6e2234bc3e10d26c4084269b9fb5c486
c1210b177a977f00b7e40efd7fd268f90c9ef34d e6b8ec7a839a5c2321696493119b40a20b9d867b
c4d9c05dd9ca6ef7372ef1222430db3909c23dbb 25f5322ddc3f2012204bdde166a8fa64801fa432
c810a50a7e25157b6a327951a64a4bb81e580a9a c1f1d3b4e3148ffa92c658106bcfa237f888a963
c98a6ccc069b073490449d5d1fa9d6688fcb6654 f02e5455c9a06d9687d4eda33365bab72e422d4a
ce7d6a0749c711c0cb7ed3e915a4b844f73e08c3 36690172055c1d8a9c882bc59c623d145de87f75
d62a7834fcd1f62c539842de31a63e34d22f32db 23f9ea30c5ddd9aa68b79123d8a3c2a0b3e1ac67
da709d2e2a3a194635c4e3a9ff3462b61e242184 9045e9910c2d2b47521d4c38cf8b554190c9d213
dd5908c9f0852529c27cd0935848bbd069b462b0 b5126117bcbd945f33775ee80ca3b10571931a04
e463231a50633dc2d7445931f25b780753a7af94 4765b178459b1a36f0b030355db0dee21f0049f0
ea309cab29fbe3c03ceaa3a7b501d267a1a9860b 3f3c10e36ee3b274cf474e41f913e92cfe42d8ee
f0592d0d489de1d8d5ee794327fc9b3585b9939d 685911187204a2de3a76ccdf9dd6465599a3786b
f9cdc010a4f6ae718b328a73c4082662ddcf2841 d869ef03650f12993eaa4ca7364193758155f073
